"raceId","mean_lap_time","median_lap_time","mean_race_time","median_race_time","circuitId","year","round","circuit_name","circuit_length","mean_speed"
1,97.3405219550949,97.5899827586207,5153.41494736842,5657.388,1,2009,1,"Albert Park Grand Prix Circuit",5278,195.19928204993
2,110.425188696993,109.748322580645,3200.46257894737,3377.982,2,2009,2,"Sepang International Circuit",5543,180.708769760458
3,129.788084230346,127.793535714286,6582.2418,7119.129,17,2009,3,"Shanghai International Circuit",5451,151.197239071441
5,92.4893603189702,89.65513997669,5291.6218125,5852.692,4,2009,5,"Circuit de Barcelona-Catalunya",4657,181.266255298787
6,78.9325363715155,78.48759682861,5007.91505,6059.702,6,2009,6,"Circuit de Monaco",3337,152.1957934236
7,90.8192616976226,90.4865775862069,4930.8246,5210.581,5,2009,7,"Istanbul Park",5338,211.593880425732
8,84.4337341488522,84.0350083333333,4831.39035,5014.807,9,2009,8,"Silverstone Circuit",5891,251.174488654169
9,97.9179949878143,97.7572666666667,5527.57535,5863.3845,20,2009,9,"Nürburgring",5148,189.268581350204
10,86.6820159119688,85.3304571428571,5219.57278947368,5938.268,11,2009,10,"Hungaroring",4381,181.947775834114
12,115.932310715326,115.172238636364,4788.212,5065.107,13,2009,12,"Circuit de Spa-Francorchamps",7004,217.492430232969
13,88.2033231510368,88.0465576923077,4161.47773684211,4612.837,14,2009,13,"Autodromo Nazionale di Monza",5793,236.440071133021
14,116.362294389643,115.144426229508,5995.51485,6991.475,15,2009,14,"Marina Bay Street Circuit",4940,152.833012560321
15,100.263201162314,100.224849056604,5027.94636842105,5311.917,22,2009,15,"Suzuka Circuit",5807,208.503217109107
16,79.6956021146487,78.9634507042254,4978.92305882353,5562.733,18,2009,16,"Autódromo José Carlos Pace",4309,194.645621444508
17,103.740832289562,103.525509090909,5310.6833,5670.712,24,2009,17,"Yas Marina Circuit",5281,183.260530886572
18,98.6771576077915,98.4246551724138,4324.92105882353,5275.34,1,2008,1,"Albert Park Grand Prix Circuit",5278,192.55520183832
19,103.076627306071,99.370875,4832.29228571429,5517.005,2,2008,2,"Sepang International Circuit",5543,193.591898779799
21,93.6244147934478,90.6202675990676,4561.4428,5903.9915,4,2008,4,"Circuit de Barcelona-Catalunya",4657,179.068676017757
22,94.4618731254179,91.1343965517241,4819.26236842105,5223.906,5,2008,5,"Istanbul Park",5338,203.434458413562
23,97.7471362455747,96.8101231638418,6188.62655,7258.8535,6,2008,6,"Circuit de Monaco",3337,122.900787290777
24,83.9068531485722,83.4362571428571,4770.72635,5805.483,7,2008,7,"Circuit Gilles Villeneuve",4361,187.107481819167
25,79.9425359640269,79.5196357142857,5338.8234,5545.653,8,2008,8,"Circuit de Nevers Magny-Cours",4411,198.637681535967
26,100.830777144028,101.091025423729,5140.57561111111,5966.3715,9,2008,9,"Silverstone Circuit",5891,210.328637750227
27,82.4233246623054,82.362723880597,5206.06205,5508.8165,10,2008,10,"Hockenheimring",4574,199.778400925516
28,85.0281373446927,84.4334071428571,5653.2551,5872.6385,11,2008,11,"Hungaroring",4381,185.486834035468
30,114.58528195424,114.416011363636,4660.3914,4984.3315,13,2008,13,"Circuit de Spa-Francorchamps",7004,220.049203265646
31,100.055798360505,99.3237830188679,5047.27625,5243.252,14,2008,14,"Autodromo Nazionale di Monza",5793,208.431698529449
32,115.670375481474,115.663786885246,6170.8129,7045.5155,15,2008,15,"Marina Bay Street Circuit",4940,153.747231527301
34,102.614256332774,99.9527589285714,5056.4609,5548.474,17,2008,17,"Shanghai International Circuit",5451,191.236585454183
35,80.9339186061619,80.808159054326,5691.71144444444,5690.8405,18,2008,18,"Autódromo José Carlos Pace",4309,191.667477210463
36,90.5720449689892,90.6063070175439,4696.58022727273,5159.8075,1,2007,1,"Albert Park Grand Prix Circuit",5278,209.786584883952
37,100.943193827733,100.508678571429,5196.28657142857,5573.736,2,2007,2,"Sepang International Circuit",5543,197.683461789948
39,89.1874858091491,86.7320234375,4093.57472727273,5510.177,4,2007,4,"Circuit de Barcelona-Catalunya",4657,187.977044625696
40,79.9245912177606,79.0966753246753,5480.8325,6066.2815,6,2007,5,"Circuit de Monaco",3337,150.306680546781
41,88.4371866597178,89.4003,5057.13704761905,6255.635,7,2007,6,"Circuit Gilles Villeneuve",4361,177.522607773671
43,83.3231542025242,79.4380144927536,4773.10776190476,5486.353,8,2007,8,"Circuit de Nevers Magny-Cours",4411,190.578479079215
44,86.1313080777405,85.3298620689655,4199.04163636364,4915.0315,9,2007,9,"Silverstone Circuit",5891,246.224055727314
45,145.020119349506,129.782457627119,5273.761,7595.975,20,2007,10,"Nürburgring",5148,127.79468175264
46,84.0125044138845,83.6960579710145,5210.69045454545,5783.98,11,2007,11,"Hungaroring",4381,187.729197100253
47,91.5661211974302,91.1710760738052,5037.51959090909,5237.515,5,2007,12,"Istanbul Park",5338,209.868013941158
48,91.8774707316269,90.6204430333817,4382.9835,4744.8905,14,2007,13,"Autodromo Nazionale di Monza",5793,226.984916257835
49,114.768169395809,112.698028805497,4344.59536363636,4873.9985,13,2007,14,"Circuit de Spa-Francorchamps",7004,219.698546493683
51,108.004282829974,106.740943181818,5202.50713636364,5912.4415,17,2007,16,"Shanghai International Circuit",5451,181.692794820854
52,79.4322466241297,76.2444285714286,4093.08227272727,5305.04,18,2007,17,"Autódromo José Carlos Pace",4309,195.290963799678
54,101.244447686906,99.1494909090909,4549.13580952381,5450.16,2,2006,2,"Sepang International Circuit",5543,197.095252686936
55,103.205137408553,100.380473684211,4889.94626315789,5692.694,1,2006,3,"Albert Park Grand Prix Circuit",5278,184.107114016839
56,92.3516242378882,89.4542096774194,4934.00309523809,5482.354,21,2006,4,"Autodromo Enzo e Dino Ferrari",4909,191.359926215025
57,99.8053289734286,97.6436949152542,4767.58576190476,5762.516,20,2006,5,"Nürburgring",5148,185.689483624006
58,81.1229995187463,80.4049692307692,4611.49513636364,5200.6375,4,2006,6,"Circuit de Barcelona-Catalunya",4657,206.663955961414
59,81.0385047118258,81.3669155844156,5741.869,6265.2525,6,2006,7,"Circuit de Monaco",3337,148.240642429412
60,90.5520310903391,87.6520169491525,4723.40565,5189.585,9,2006,8,"Silverstone Circuit",5891,234.203471138513
61,84.9091026831827,82.5903623188406,4640.08857142857,5688.881,7,2006,9,"Circuit Gilles Villeneuve",4361,184.898903696806
63,81.0456077890151,80.7233043478261,4954.0749047619,5544.118,8,2006,11,"Circuit de Nevers Magny-Cours",4411,195.934121949448
64,90.7754616504531,79.9176818181818,4146.1909047619,5278.453,10,2006,12,"Hockenheimring",4574,181.39703947094
65,100.789529789469,98.7731111111111,5188.93061904762,6743.674,11,2006,13,"Hungaroring",4381,156.480539525722
66,98.3925877653876,93.7067192982456,4561.31776190476,5336.738,5,2006,14,"Istanbul Park",5338,195.307394961717
67,86.8582404958346,86.2925856313498,4030.70454545455,4502.726,14,2006,15,"Autodromo Nazionale di Monza",5793,240.101571030559
68,107.571023581817,107.172570454545,5492.668,5900.7045,17,2006,16,"Shanghai International Circuit",5451,182.424591182537
69,97.1564893951617,96.9941730769231,4711.92945454545,5058.591,22,2006,17,"Suzuka Circuit",5807,215.170392941772
70,82.8519427766507,79.1093714285714,4620.388,5533.145,18,2006,18,"Autódromo José Carlos Pace",4309,187.230371191389
71,90.553792538091,89.9301259398496,4769.55455,5068.7575,1,2005,1,"Albert Park Grand Prix Circuit",5278,209.828870414316
72,101.152624338805,99.5525625,4365.4441,5515.056,2,2005,2,"Sepang International Circuit",5543,197.274169903516
74,86.8664090999765,86.2543383130619,4248.16935,5288.6085,21,2005,4,"Autodromo Enzo e Dino Ferrari",4909,203.443427477938
75,84.181202081867,80.6315,4455.54211111111,5239.9505,4,2005,5,"Circuit de Barcelona-Catalunya",4657,199.156101188668
76,82.9808673519792,81.7801242937853,5547.06027777778,6352.468,6,2005,6,"Circuit de Monaco",3337,144.7707210512
77,95.0545061980821,94.5453728813559,5421.44178947368,5552.755,20,2005,7,"Nürburgring",5148,194.970241193825
78,82.2063842392996,79.8620807692308,4638.51965,5529.8585,7,2005,8,"Circuit Gilles Villeneuve",4361,190.977868024204
80,81.9342696761783,80.0223913043478,4759.6242,5497.9325,8,2005,10,"Circuit de Nevers Magny-Cours",4411,193.809013771155
81,86.9931506757121,86.5910169491525,4909.28495,5124.26,9,2005,11,"Silverstone Circuit",5891,243.784709891201
82,80.00171858555,78.6004330619629,5095.1594,5222.323,10,2005,12,"Hockenheimring",4574,205.825578389189
83,86.7596543743257,85.1722608695652,5497.58966666667,5886.8285,11,2005,13,"Hungaroring",4381,181.784956541588
84,93.0908038861407,89.5008779491833,4656.044,5097.82,5,2005,14,"Istanbul Park",5338,206.430702043395
85,86.1619880823444,85.9949134615385,4500.62885,4491.769,14,2005,15,"Autodromo Nazionale di Monza",5793,242.041768814216
86,126.689364485428,125.782488372093,4604.39095,5420.973,13,2005,16,"Circuit de Spa-Francorchamps",7004,199.025388614213
87,79.512668671183,76.9586785714286,5181.44994444444,5375.6155,18,2005,17,"Autódromo José Carlos Pace",4309,195.093439312797
88,105.881373373493,101.881528301887,4938.61831578947,5371.719,22,2005,18,"Suzuka Circuit",5807,197.439826609139
89,108.739834347466,107.959464285714,5406.90395,6019.363,17,2005,19,"Shanghai International Circuit",5451,180.463765810926
90,91.4747761868711,89.7206527777778,4449.6144,5071.743,1,2004,1,"Albert Park Grand Prix Circuit",5278,207.716277558131
91,100.149895218013,99.4436966783217,5010.77875,5484.1505,2,2004,2,"Sepang International Circuit",5543,199.24933477525
93,85.5274194978746,85.0419262295082,4611.6307,5196.974,21,2004,4,"Autodromo Enzo e Dino Ferrari",4909,206.628471942137
94,81.7252161827705,81.3778,4495.5689,5271.6755,4,2004,5,"Circuit de Barcelona-Catalunya",4657,205.141090878319
95,87.4543082403935,85.2344,4073.25842105263,5982.758,6,2004,6,"Circuit de Monaco",3337,137.365445358944
96,94.6131930888656,94.103609180791,5091.28655555556,5597.0095,20,2004,7,"Nürburgring",5148,195.879659009003
97,78.6337959927911,77.5599565217391,4720.97442105263,5325.212,7,2004,8,"Circuit Gilles Villeneuve",4361,199.654611630848
99,79.0044084557611,78.1916142857143,5089.96455,5450.416,8,2004,10,"Circuit de Nevers Magny-Cours",4411,200.996378688056
100,85.8039690648267,85.1188166666667,4648.49405,5098.978,9,2004,11,"Silverstone Circuit",5891,247.163391520703
101,77.8779037741903,77.3134545454545,4678.3926,5056.452,10,2004,12,"Hockenheimring",4574,211.438664909945
102,84.4689901356457,83.7521544715447,4983.39115,5754.6235,11,2004,13,"Hungaroring",4381,186.714674517512
103,127.097988261943,126.582568181818,4865.5968125,5559.0255,13,2004,14,"Circuit de Spa-Francorchamps",7004,198.385516126615
104,86.8852072981278,86.3246981132075,4124.64768421053,4533.818,14,2004,15,"Autodromo Nazionale di Monza",5793,240.027050041341
105,97.6838802682804,97.3031835380835,4912.97725,5371.28,17,2004,16,"Shanghai International Circuit",5451,200.888825731589
106,97.9361068591737,97.2604118669315,4761.54695,5092.7065,22,2004,17,"Suzuka Circuit",5807,213.457535432365
107,76.9247692004526,75.5973285714286,4682.3166,5302.2275,18,2004,18,"Autódromo José Carlos Pace",4309,201.656763630676
108,101.369996070331,99.1013620689655,4204.9082,5686.4615,1,2003,1,"Albert Park Grand Prix Circuit",5278,187.440078293159
109,102.013913247547,101.52865,4793.94833333333,5554.082,2,2003,2,"Sepang International Circuit",5543,195.608612244662
110,108.271439562943,103.941579573421,4073.03065,5094.1935,18,2003,3,"Autódromo José Carlos Pace",4309,143.273240502007
111,87.1444845865987,87.1190491803279,4791.2011,5297.605,21,2003,4,"Autodromo Enzo e Dino Ferrari",4909,202.794245485935
112,90.8284499893899,89.6810634920635,4821.02770588235,5636.15,4,2003,5,"Circuit de Barcelona-Catalunya",4657,184.58093253775
113,75.7473481067237,74.8221397058824,4465.12494444444,5056.248,70,2003,6,"Red Bull Ring",4318,205.219065598155
114,81.8002327393355,80.5877857142857,5142.06355555556,6164.9345,6,2003,7,"Circuit de Monaco",3337,146.860217846583
115,80.8486262290677,80.1618822463768,4173.53255,5257.758,7,2003,8,"Circuit Gilles Villeneuve",4361,194.185117697838
116,96.8845491703492,96.9518559322034,5259.3444,5705.948,20,2003,9,"Nürburgring",5148,191.287466976951
117,79.6855593567507,79.6080362318841,4985.5903,5467.9625,8,2003,10,"Circuit de Nevers Magny-Cours",4411,199.278264822204
118,90.179609905375,89.6990333333333,5133.1432,5327.9275,9,2003,11,"Silverstone Circuit",5891,235.170677964265
119,92.0035396880263,81.95353125,4276.28076470588,5343.268,10,2003,12,"Hockenheimring",4574,178.975722628018
120,87.0934711763139,86.8463610013175,4836.38295,5952.896,11,2003,13,"Hungaroring",4381,181.08820083737
121,90.3494131282635,86.3324423076923,3700.186,4470.106,14,2003,14,"Autodromo Nazionale di Monza",5793,230.823856823439
123,98.5222999449209,97.5989528301887,4453.66615,5133.171,22,2003,16,"Suzuka Circuit",5807,212.187494726444
124,115.282921597083,107.000614922813,4308.18028571429,5746.1055,1,2002,1,"Albert Park Grand Prix Circuit",5278,164.818862471306
125,104.862067457778,104.471406060606,4375.26218181818,5666.169,2,2002,2,"Sepang International Circuit",5543,190.295694942642
126,81.6331830827322,79.7367779411765,4358.04218181818,5463.789,18,2002,3,"Autódromo José Carlos Pace",4309,190.025666208296
127,88.860345262102,88.4553196721311,4251.32435,5351.2435,21,2002,4,"Autodromo Enzo e Dino Ferrari",4909,198.878362984901
128,86.1538060942348,85.329765625,4094.12410526316,5418.052,4,2002,5,"Circuit de Barcelona-Catalunya",4657,194.596161911434
129,80.6171415733246,80.0393098591549,4074.62328571429,5631.562,70,2002,6,"Red Bull Ring",4318,192.822515120576
130,83.727092697186,83.7243421052632,5130.90172727273,6339.5795,6,2002,7,"Circuit de Monaco",3337,143.480438804293
131,82.5559086475921,81.7119884057971,4740.57404545455,5623.9825,7,2002,8,"Circuit Gilles Villeneuve",4361,190.169307771987
132,97.7841964468899,97.6333050847458,5179.79109090909,5731.089,20,2002,9,"Nürburgring",5148,189.527558372542
133,94.8042326177534,94.5035809322034,4359.0851,5510.514,9,2002,10,"Silverstone Circuit",5891,223.69887308205
134,78.6488626444926,78.5671378881988,4620.60322222222,5530.389,8,2002,11,"Circuit de Nevers Magny-Cours",4411,201.905017645058
135,81.6697416222349,80.9685825629173,4086.68835,4785.011,10,2002,12,"Hockenheimring",4574,201.621796186961
136,80.791392589156,80.5771578947368,5450.08955,6130.1105,11,2002,13,"Hungaroring",4381,195.213864924973
137,112.86057355228,112.715136363636,4127.9497,4881.6225,13,2002,14,"Circuit de Spa-Francorchamps",7004,223.411942774861
138,88.479823072678,87.7349433962264,3581.64385,4595.285,14,2002,15,"Autodromo Nazionale di Monza",5793,235.701194642644
140,104.316934195559,100.6485,3926.57873684211,5219.698,22,2002,17,"Suzuka Circuit",5807,200.400828122593
141,104.676235485114,104.4815,4561.271,5930.501,1,2001,1,"Albert Park Grand Prix Circuit",5278,181.519710867918
142,118.560521704127,118.236981818182,4605.78642857143,6460.354,2,2001,2,"Sepang International Circuit",5543,168.308975982731
143,86.3608709667084,85.0272037037037,4559.72171428571,5326.325,18,2001,3,"Autódromo José Carlos Pace",4309,179.623014756069
144,90.6278398021565,90.3475,4162.56259090909,5446.993,21,2001,4,"Autodromo Enzo e Dino Ferrari",4909,194.999682642546
145,86.2453814393364,85.4670518707483,4526.17218181818,5498.411,4,2001,5,"Circuit de Barcelona-Catalunya",4657,194.389539708771
